year,province,crop,precipitation(mm),harvested area (acres),yield (tonnes/acres),production (tonnes),farm gate value ($)
1995,AB,corn ,350.1,4940,5.51,27203,4115548
1996,AB,corn ,482.1,5025,5.41,27208,4196498
1997,AB,corn ,491.3,4897.5,5.46,26726.5,4201007
1998,AB,corn ,489.1,4770,5.5,26245,4202678
1999,AB,corn ,423.8,4900,2.97,14560,2374444
2000,AB,corn ,396.5,4950,4.51,22318,3705400
2001,AB,corn ,352.1,5290,4.53,23945,4046103
2002,AB,corn ,235.2,4450,4.65,20690,3557072
2003,AB,corn ,473.4,5550,3.43,19050,3222099
2004,AB,corn ,525.5,4300,4.19,18000,3097557
2005,AB,corn ,287.2,3465,3.9,13500,2362958
2006,AB,corn ,442.5,4000,4.06,16250,2892197
2007,AB,corn ,272,4000,4.01,16050,2903907
2008,AB,corn ,292.7,4000,4,16000,2942020
2009,AB,corn ,243.5,3800,4.47,17000,3176003
2010,AB,corn ,383,3282,4.51,14815,2811459
2011,AB,corn ,391.4,4007,3.5,14029,2647101
2012,AB,corn ,369.5,3017,4.67,14102,3116340
2013,AB,corn ,483.5,3367,4.28,14407,3163414
2014,AB,corn ,360,3062,5.41,16578,3015343
2015,AB,corn ,289.3,2760,5.64,15558,3081063
2016,AB,corn ,489.5,2457,6.74,16548,3755326
2017,AB,corn ,376.3,2065,7.87,16259,3454814
2018,AB,corn ,368.6,2126,6.85,14554,3438888
2019,AB,corn ,463,2000,7.11,14224,3626885
2020,AB,corn ,498.7,2505,5.91,14794,3985985
2021,AB,corn ,270.6,2588,4.99,12919,3689428
2022,AB,corn ,397,3200,4.53,14500,4262652
1995,BC,corn ,1272.8,2875,5.14,14787,2237128
1996,BC,corn ,1462.8,3285,4.13,13562,2091771
1997,BC,corn ,1521.8,2375,5.37,12750,2004110
1998,BC,corn ,1160.5,2760,5.04,13908,2227123
1999,BC,corn ,1394.4,2740,4.56,12505,2039315
2000,BC,corn ,1010.8,2730,3.81,10410,1728345
2001,BC,corn ,1178.5,3100,4.91,15213,2570614
2002,BC,corn ,857.6,2750,4.82,13250,2277970
2003,BC,corn ,1106.1,2800,3.57,10000,1691391
2004,BC,corn ,1210.6,2660,4.12,10950,1884347
2005,BC,corn ,1215.2,2502,4.7,11767,2059624
2006,BC,corn ,1224.2,3315,3.56,11810,2101960
2007,BC,corn ,1322.4,3150,3.73,11750,2125914
2008,BC,corn ,1025.8,3030,3.91,11850,2178934
2009,BC,corn ,1090.6,2120,3.42,7242,1352977
2010,BC,corn ,1207,2285,2.51,5734,1088148
2011,BC,corn ,1068.5,2913,2.84,8280,1562335
2012,BC,corn ,1211.3,3001,2.93,8781,1940475
2013,BC,corn ,944,2983,3.21,9589,2105503
2014,BC,corn ,1276.3,2867,3.44,9870,1795237
2015,BC,corn ,1142.5,2426,3.38,8194,1622717
2016,BC,corn ,1356.8,2634,3.69,9717,2205130
2017,BC,corn ,1239.3,2284,2.92,6673,1417921
2018,BC,corn ,1343.4,2320,3.14,7288,1722043
2019,BC,corn ,965.7,2410,3.58,8627,2199743
2020,BC,corn ,1140.4,2228,2.89,6431,1732721
2021,BC,corn ,1160.3,2498,3.13,7814,2231534
2022,BC,corn ,1046.3,2800,,,
1995,MB,corn ,444.7,1000,5,5000,756451
1996,MB,corn ,685.5,940,4.43,4164,642246
1997,MB,corn ,500.1,,,,
1998,MB,corn ,479.9,830,3.61,3000,480398
1999,MB,corn ,497.7,700,2.21,1550,252774
2000,MB,corn ,673.1,670,3.36,2250,373562
2001,MB,corn ,528.9,800,4.38,3500,591412
2002,MB,corn ,406.6,750,2.66,1998,343501
2003,MB,corn ,391,525,2.99,1570,265548
2004,MB,corn ,683.9,290,2.81,815,140250
2005,MB,corn ,584,300,2.54,763,133551
2006,MB,corn ,266.9,600,2.67,1600,284770
2007,MB,corn ,452.6,600,1.75,1050,189975
2008,MB,corn ,535.9,555,1.79,995,182957
2009,MB,corn ,456.2,500,2.31,1156,215968
2010,MB,corn ,749.8,629,2.25,1416,268716
2011,MB,corn ,541,645,2.61,1682,317373
2012,MB,corn ,411.4,641,2.27,1458,322197
2013,MB,corn ,376.7,573,1.75,1003,220234
2014,MB,corn ,451.6,414,2.96,1226,222995
2015,MB,corn ,475.1,436,1.63,712,141002
2016,MB,corn ,551.8,423,2.19,925,209915
2017,MB,corn ,327.5,410,3.08,1263,268370
2018,MB,corn ,354.6,377,2.99,1129,266765
2019,MB,corn ,457.1,394,2.73,1075,274107
2020,MB,corn ,272.7,343,2.28,783,210966
2021,MB,corn ,384.2,350,2.84,994,283868
2022,MB,corn ,766.4,,,,0
1995,NB,corn ,1117.2,557,2.25,1254,189718
1996,NB,corn ,1035.8,643,2.95,1896,292435
1997,NB,corn ,844.8,600,2.36,1413,222103
1998,NB,corn ,1036.9,575,1.5,860,137714
1999,NB,corn ,1103,480,1.35,650,106002
2000,NB,corn ,1122,450,1.85,833,138301
2001,NB,corn ,690.3,560,2.3,1290,217978
2002,NB,corn ,1165.1,550,2.32,1275,219201
2003,NB,corn ,1051.2,435,2.07,900,152225
2004,NB,corn ,752,440,2.61,1150,197899
2005,NB,corn ,1190.1,450,2.17,975,170658
2006,NB,corn ,1029.8,410,2.44,1000,177981
2007,NB,corn ,907.4,400,1.56,625,113081
2008,NB,corn ,1159.9,350,2.16,755,138827
2009,NB,corn ,1167.8,410,2.35,965,180285
2010,NB,corn ,1154.5,345,1.97,681,129234
2011,NB,corn ,1072.7,329,2.33,767,144724
2012,NB,corn ,979.1,362,1.88,679,150049
2013,NB,corn ,1068.7,304,2.4,731,160509
2014,NB,corn ,1244.7,326,1.79,583,106041
2015,NB,corn ,920.8,291,2.67,776,153677
2016,NB,corn ,876.4,283,1.95,553,125495
2017,NB,corn ,876.3,282,1.73,487,103481
2018,NB,corn ,1149.8,288,1.87,538,127121
2019,NB,corn ,1120.1,286,2.13,608,155030
2020,NB,corn ,798.2,272,2.28,621,167318
2021,NB,corn ,907.6,305,2.37,724,206761
2022,NB,corn ,1188.5,,,,0
1995,NL,corn ,,,,,
1996,NL,corn ,,,,,
1997,NL,corn ,,,,,
1998,NL,corn ,,,,,
1999,NL,corn ,,,,,
2000,NL,corn ,,,,,
2001,NL,corn ,,,,,
2002,NL,corn ,,5,2,10,
2003,NL,corn ,,15,2.33,35,
2004,NL,corn ,,,,,
2005,NL,corn ,,10,0.5,5,
2006,NL,corn ,,35,0.57,20,
2007,NL,corn ,,35,1,35,
2008,NL,corn ,,30,1,30,
2009,NL,corn ,,,,,
2010,NL,corn ,,12,1.83,22,
2011,NL,corn ,,,,3,
2012,NL,corn ,,8,1.88,15,
2013,NL,corn ,,,,15,
2014,NL,corn ,,,,16,
2015,NL,corn ,,,,17,
2016,NL,corn ,,20,1,20,
2017,NL,corn ,,16,1,16,
2018,NL,corn ,,15,1.27,19,
2019,NL,corn ,,13,1.31,17,
2020,NL,corn ,,17,1,17,
2021,NL,corn ,,20,1.2,24,
2022,NL,corn ,,,,,
1995,NS,corn ,1479.1,650,2.1,1365,206511
1996,NS,corn ,1718.6,711,2.85,2027,312640
1997,NS,corn ,1120.8,620,1.66,1030,161901
1998,NS,corn ,1465,580,1.6,930,148923
1999,NS,corn ,1342.2,500,3.5,1750,285390
2000,NS,corn ,1290.5,440,2.82,1240,205874
2001,NS,corn ,965.1,650,1.88,1225,206994
2002,NS,corn ,1614.9,650,2.31,1500,257883
2003,NS,corn ,1356.4,700,1.93,1350,228338
2004,NS,corn ,1285.5,500,2.34,1170,201341
2005,NS,corn ,1365.2,475,2.48,1180,206540
2006,NS,corn ,1245,565,2.65,1500,266972
2007,NS,corn ,1322.1,500,3.6,1800,325672
2008,NS,corn ,1448.6,400,3,1200,220652
2009,NS,corn ,1514.5,330,1.88,620,115831
2010,NS,corn ,1213.9,390,2.87,1119,212354
2011,NS,corn ,1688.9,608,2.7,1643,310014
2012,NS,corn ,1390.3,566,2.73,1547,341865
2013,NS,corn ,1501.5,539,2.71,1462,321018
2014,NS,corn ,1591.9,433,2.66,1153,209717
2015,NS,corn ,1540.8,393,1.9,746,147736
2016,NS,corn ,1219.5,435,2.02,879,199476
2017,NS,corn ,1156,413,2.39,989,210149
2018,NS,corn ,1370.6,430,2.07,892,210766
2019,NS,corn ,1459.6,420,1.68,706,180018
2020,NS,corn ,1147.8,404,2.23,902,243028
2021,NS,corn ,1288,420,2.38,998,285010
2022,NS,corn ,1444.4,,,,0
1995,ON,corn ,928.1,44405,4.76,211442,31989105
1996,ON,corn ,699.8,48100,4.97,239015,36865112
1997,ON,corn ,628.6,46880,5.06,237000,37252867
1998,ON,corn ,682.1,44830,5.16,231438,37060753
1999,ON,corn ,661.8,46100,5.21,240150,39163655
2000,ON,corn ,755.7,43120,3.82,164663,27338571
2001,ON,corn ,690.4,46065,4.66,214500,36245105
2002,ON,corn ,661.9,42000,4.35,182600,31393010
2003,ON,corn ,895.6,43100,5.38,231675,39185291
2004,ON,corn ,755,36100,5.26,190000,32696434
2005,ON,corn ,766.7,33700,4.96,167250,29274426
2006,ON,corn ,865.7,35126,5.73,201440,35852568
2007,ON,corn ,592.7,33400,5.76,192500,34828797
2008,ON,corn ,1049.6,26000,5,130000,23903913
2009,ON,corn ,904,22230,5.95,132265,24710236
2010,ON,corn ,787.2,23309,5.33,124309,23590260
2011,ON,corn ,936.8,25536,5.24,133846,25255106
2012,ON,corn ,731.6,23829,5.23,124528,27518908
2013,ON,corn ,944.9,23204,5.29,122761,26955221
2014,ON,corn ,733.8,22186,5.98,132732,24142389
2015,ON,corn ,675.3,22661,5.72,129676,25680670
2016,ON,corn ,630.6,22270,4.93,109787,24914548
2017,ON,corn ,846,19003,6.03,114565,24343488
2018,ON,corn ,885,19022,5.87,111569,26362049
2019,ON,corn ,950.4,18375,6.02,110595,28199901
2020,ON,corn ,760.8,19281,6.45,124454,33531961
2021,ON,corn ,823.2,19532,6.15,120049,34283776
2022,ON,corn ,672.8,,,,
1995,PE,corn ,937.2,85,2.26,192,29048
1996,PE,corn ,1209.1,82,2.43,199,30693
1997,PE,corn ,847.6,75,2.67,200,31437
1998,PE,corn ,1140,70,3.11,218,34909
1999,PE,corn ,901.3,,,,
2000,PE,corn ,849.5,50,2.5,125,20753
2001,PE,corn ,786.9,,,,
2002,PE,corn ,1297.4,65,3.66,238,40918
2003,PE,corn ,1024.2,70,3.4,238,40255
2004,PE,corn ,986.8,,,,0
2005,PE,corn ,1093.9,75,3.33,250,43758
2006,PE,corn ,1119.3,70,2.69,188,33460
2007,PE,corn ,1101.8,50,4.26,213,38538
2008,PE,corn ,1494,50,4.1,205,37695
2009,PE,corn ,1427.6,35,2.46,86,16067
2010,PE,corn ,1354,50,2.32,116,22013
2011,PE,corn ,1370.1,52,2.98,155,29247
2012,PE,corn ,1032.3,59,2.19,129,28507
2013,PE,corn ,1013.2,56,1.95,109,23934
2014,PE,corn ,1427.7,54,2.37,128,23282
2015,PE,corn ,1387.3,,,97,19210
2016,PE,corn ,1073.4,,,69,15659
2017,PE,corn ,1060.3,55,2.18,120,25498
2018,PE,corn ,1202.3,55,4.33,238,56236
2019,PE,corn ,1198.1,55,4.93,271,69101
2020,PE,corn ,728.3,52,4.02,209,56311
2021,PE,corn ,1261.8,54,3.41,184,52547
2022,PE,corn ,1262.9,,,,0
1995,QC,corn ,1264.6,23230,4.28,99325,15026900
1996,QC,corn ,1313.1,28680,3.74,107400,16565124
1997,QC,corn ,1095.9,27860,4.23,117940,18538410
1998,QC,corn ,1136.5,27740,3.9,108165,17320735
1999,QC,corn ,1147.5,24430,3.89,95000,15492597
2000,QC,corn ,1044.9,24735,3.61,89295,14825417
2001,QC,corn ,807.2,25605,3.03,77580,13109069
2002,QC,corn ,909.8,23920,3.59,85980,14781878
2003,QC,corn ,1252.4,21700,4.22,91650,15501595
2004,QC,corn ,1153.1,21600,4.35,94000,16176131
2005,QC,corn ,1295.9,20750,4.1,85000,14877885
2006,QC,corn ,1280,22050,4.27,94222,16769761
2007,QC,corn ,1294,22200,4.62,102500,18545204
2008,QC,corn ,1461.4,20536,4.42,90844,16704054
2009,QC,corn ,1131,21214,4.52,95927,17921436
2010,QC,corn ,1015.7,20229,4.52,91521,17368044
2011,QC,corn ,1320.2,21346,4.16,88840,16763024
2012,QC,corn ,1115.7,20156,4.29,86376,19087861
2013,QC,corn ,1234.3,19723,4.55,89697,19695200
2014,QC,corn ,1267.1,18940,4.25,80445,14631999
2015,QC,corn ,1253.2,18223,4.96,90472,17916820
2016,QC,corn ,1324.3,17833,4.61,82172,18647729
2017,QC,corn ,1231.8,16920,4.51,76306,16213976
2018,QC,corn ,1227.4,16374,4.42,72449,17118591
2019,QC,corn ,1278.3,16012,4.52,72324,18441427
2020,QC,corn ,1338.7,15702,4.43,69577,18746310
2021,QC,corn ,942.6,15760,4.57,71976,20555016
2022,QC,corn ,1305.4,,,,0
1995,SK,corn ,375.5,415,,,0
1996,SK,corn ,446.4,350,1.03,361,55680
1997,SK,corn ,312.9,300,1,300,47156
1998,SK,corn ,280,190,2.11,400,64053
1999,SK,corn ,401.4,210,0.83,175,28539
2000,SK,corn ,344.6,160,1.5,240,39847
2001,SK,corn ,159.7,200,1.07,213,35992
2002,SK,corn ,299.3,195,1.14,223,38339
2003,SK,corn ,233.8,125,1,125,21142
2004,SK,corn ,402.6,30,0.6,18,3098
2005,SK,corn ,523,100,0.48,48,8402
2006,SK,corn ,488.8,110,0.86,95,16908
2007,SK,corn ,366,90,0.37,33,5971
2008,SK,corn ,327.1,55,0.55,30,5516
2009,SK,corn ,298.5,70,1.34,94,17561
2010,SK,corn ,642.5,51,0,,0
2011,SK,corn ,285.4,111,1.33,148,27926
2012,SK,corn ,510.2,134,0.97,130,28728
2013,SK,corn ,279.6,127,1.53,194,42598
2014,SK,corn ,364.9,130,3.03,394,71664
2015,SK,corn ,292.4,150,2.55,382,75650
2016,SK,corn ,345.1,155,2.01,312,70804
2017,SK,corn ,234.3,,,335,71183
2018,SK,corn ,207.7,135,0,,0
2019,SK,corn ,266.4,130,3.85,500,127492
2020,SK,corn ,297.4,117,3.69,432,116395
2021,SK,corn ,180.7,48,2.81,135,38554
2022,SK,corn ,208.7,,,,0
1995,AB,wheat,350.1,6620000,1.09,7266500,104449854
1996,AB,wheat,482.1,7190000,1.09,7789100,102248211
1997,AB,wheat,491.3,6625000,1.05,6839300,99655913
1998,AB,wheat,489.1,6690000,1.01,6752300,88194855
1999,AB,wheat,423.8,7130000,1.13,8219200,122459885
2000,AB,wheat,396.5,6947000,1.01,7123700,98189118
2001,AB,wheat,352.1,6480000,0.89,5864900,87382590
2002,AB,wheat,235.2,4588000,0.77,3522400,55486631
2003,AB,wheat,473.4,6128000,1.05,6429600,109722513
2004,AB,wheat,525.5,6105000,1.26,7571400,127103183
2005,AB,wheat,287.2,6450000,1.3,8371400,153244554
2006,AB,wheat,442.5,6370000,1.17,7503400,121644785
2007,AB,wheat,272,5685000,1.05,6076100,106082804
2008,AB,wheat,292.7,6845000,1.3,8736200,155785944
2009,AB,wheat,243.5,6685000,1.13,7440700,135461180
2010,AB,wheat,383,6430000,1.3,8201300,152368985
2011,AB,wheat,391.4,6617000,1.34,8839600,167526696
2012,AB,wheat,369.5,6485000,1.3,8368800,161727432
2013,AB,wheat,483.5,7160000,1.58,11329000,226696297
2014,AB,wheat,360,6740000,1.38,9372800,195356489
2015,AB,wheat,289.3,6710000,1.26,8290000,177241928
2016,AB,wheat,489.5,6389000,1.58,10106600,225425179
2017,AB,wheat,376.3,6965000,1.42,9980100,226328233
2018,AB,wheat,368.6,7391600,1.35,10006100,230652168
2019,AB,wheat,463,7208900,1.42,10263200,244955610
2020,AB,wheat,498.7,7276400,1.52,11041000,272531494
2021,AB,wheat,270.6,6774300,0.95,6419000,163683242
2022,AB,wheat,397,7491500,1.52,11343305,298510644
1995,BC,wheat,1272.8,110000,1.3,140700,2022445
1996,BC,wheat,1462.8,60000,1.34,78900,1035727
1997,BC,wheat,1521.8,50000,1.26,62100,904863
1998,BC,wheat,1160.5,67000,1.13,76500,999201
1999,BC,wheat,1394.4,97000,1.01,97500,1452677
2000,BC,wheat,1010.8,85000,1.09,93900,1294265
2001,BC,wheat,1178.5,75000,1.13,83600,1245577
2002,BC,wheat,857.6,32000,1.09,34700,546612
2003,BC,wheat,1106.1,49000,1.09,53100,906163
2004,BC,wheat,1210.6,51000,1.01,52500,881332
2005,BC,wheat,1215.2,45000,1.3,58200,1065393
2006,BC,wheat,1224.2,54000,0.77,40800,661448
2007,BC,wheat,1322.4,40000,1.22,48600,848509
2008,BC,wheat,1025.8,60000,0.77,46700,832765
2009,BC,wheat,1090.6,75000,0.93,71200,1296227
2010,BC,wheat,1207,59000,0.73,43700,811886
2011,BC,wheat,1068.5,76000,1.58,121600,2304544
2012,BC,wheat,1211.3,75000,1.3,96000,1855204
2013,BC,wheat,944,93000,1.62,151800,3037558
2014,BC,wheat,1276.3,93000,1.17,109400,2280215
2015,BC,wheat,1142.5,98000,1.38,134900,2884190
2016,BC,wheat,1356.8,89000,1.58,139600,3113743
2017,BC,wheat,1239.3,42000,1.46,61000,1383355
2018,BC,wheat,1343.4,66600,1.54,102100,2353523
2019,BC,wheat,965.7,71800,1.55,111200,2654052
2020,BC,wheat,1140.4,51800,1.18,61600,1520509
2021,BC,wheat,1160.3,61600,1.05,64846,1653560
2022,BC,wheat,1046.3,82900,1.34,110846,2917026
1995,MB,wheat,444.7,3990000,0.85,3404700,48939712
1996,MB,wheat,685.5,4200000,1.05,4376500,57450706
1997,MB,wheat,500.1,3880000,0.85,3350200,48815996
1998,MB,wheat,479.9,3230000,1.01,3219700,42053963
1999,MB,wheat,497.7,3145000,1.01,3158300,47056290
2000,MB,wheat,673.1,3885000,1.09,4266000,58800171
2001,MB,wheat,528.9,3910000,0.89,3430600,51113354
2002,MB,wheat,406.6,3365000,0.97,3325200,52380237
2003,MB,wheat,391,3310000,1.17,3944800,67318864
2004,MB,wheat,683.9,3015000,1.22,3707300,62235469
2005,MB,wheat,584,2700000,0.89,2367600,43340637
2006,MB,wheat,266.9,3270000,1.17,3794900,61522749
2007,MB,wheat,452.6,2900000,1.09,3211400,56067925
2008,MB,wheat,535.9,3185000,1.34,4280900,76338001
2009,MB,wheat,456.2,3080000,1.34,4144900,75459708
2010,MB,wheat,749.8,2905000,1.13,3250900,60397295
2011,MB,wheat,541,2125000,1.05,2228900,42241759
2012,MB,wheat,411.4,2980000,1.34,3923000,75812149
2013,MB,wheat,376.7,3332000,1.54,5160000,103252969
2014,MB,wheat,451.6,2885000,1.34,3797500,79150976
2015,MB,wheat,475.1,3095000,1.38,4218300,90188133
2016,MB,wheat,551.8,2947200,1.42,4217400,94068050
2017,MB,wheat,327.5,2682000,1.34,4475900,101504247
2018,MB,wheat,354.6,2888900,1.66,4791600,110451917
2019,MB,wheat,457.1,3052800,1.66,5050000,120530227
2020,MB,wheat,272.7,3158900,1.67,5274100,130183711
2021,MB,wheat,384.2,2876600,1.3,3750909,95647445
2022,MB,wheat,766.4,3011400,1.58,4758248,125218151
1995,NB,wheat,1117.2,7000,1.13,7700,110681
1996,NB,wheat,1035.8,8700,1.5,12800,168027
1997,NB,wheat,844.8,9000,1.38,12100,176310
1998,NB,wheat,1036.9,8000,1.54,12000,156737
1999,NB,wheat,1103,10400,1.58,16400,244348
2000,NB,wheat,1122,7900,1.38,11000,151618
2001,NB,wheat,690.3,9300,1.22,11100,165382
2002,NB,wheat,1165.1,12500,1.58,20100,316625
2003,NB,wheat,1051.2,14000,1.09,15300,261098
2004,NB,wheat,752,13000,1.26,16200,271954
2005,NB,wheat,1190.1,5000,1.3,6300,115326
2006,NB,wheat,1029.8,3300,0.89,2800,45393
2007,NB,wheat,907.4,4500,1.22,5400,94279
2008,NB,wheat,1159.9,5500,1.05,5800,103427
2009,NB,wheat,1167.8,3500,0.97,3300,60078
2010,NB,wheat,1154.5,3000,1.34,4000,74315
2011,NB,wheat,1072.7,3500,1.38,4800,90969
2012,NB,wheat,979.1,5000,1.3,6300,121748
2013,NB,wheat,1068.7,5500,1.34,7300,146075
2014,NB,wheat,1244.7,8000,1.13,9100,189671
2015,NB,wheat,920.8,10000,1.42,13900,297185
2016,NB,wheat,876.4,8500,1.38,11400,254274
2017,NB,wheat,876.3,7000,1.5,10300,233583
2018,NB,wheat,1149.8,10500,1.4,14500,334242
2019,NB,wheat,1120.1,12100,1.52,18400,439160
2020,NB,wheat,798.2,13000,1.11,14300,352975
2021,NB,wheat,907.6,7000,1.58,10867,277106
2022,NB,wheat,1188.5,9000,1.51,13428,353372
1995,NL,wheat,,,,,
1996,NL,wheat,,,,,
1997,NL,wheat,,,,,
1998,NL,wheat,,,,,
1999,NL,wheat,,,,,
2000,NL,wheat,,,,,
2001,NL,wheat,,,,,
2002,NL,wheat,,,,,
2003,NL,wheat,,,,,
2004,NL,wheat,,,,,
2005,NL,wheat,,,,,
2006,NL,wheat,,,,,
2007,NL,wheat,,,,,
2008,NL,wheat,,,,,
2009,NL,wheat,,,,,
2010,NL,wheat,,,,,
2011,NL,wheat,,,,,
2012,NL,wheat,,,,,
2013,NL,wheat,,,,,
2014,NL,wheat,,,,,
2015,NL,wheat,,,,,
2016,NL,wheat,,,,,
2017,NL,wheat,,,,,
2018,NL,wheat,,,,,
2019,NL,wheat,,,,,
2020,NL,wheat,,,,,
2021,NL,wheat,,,,,
2022,NL,wheat,,,,,
1995,NS,wheat,1479.1,7700,1.34,10200,146616
1996,NS,wheat,1718.6,6700,1.46,9700,127333
1997,NS,wheat,1120.8,5200,1.09,5700,83055
1998,NS,wheat,1465,6900,1.22,8400,109716
1999,NS,wheat,1342.2,5900,1.09,6400,95355
2000,NS,wheat,1290.5,6400,1.5,9600,132321
2001,NS,wheat,965.1,7100,1.26,9100,135583
2002,NS,wheat,1614.9,9000,1.78,16000,252040
2003,NS,wheat,1356.4,8500,1.34,11200,191130
2004,NS,wheat,1285.5,9000,1.62,14400,241737
2005,NS,wheat,1365.2,7500,1.5,11100,203194
2006,NS,wheat,1245,5900,1.38,8200,132938
2007,NS,wheat,1322.1,3800,1.34,5000,87295
2008,NS,wheat,1448.6,7500,1.58,11700,208637
2009,NS,wheat,1514.5,6500,1.5,9700,176593
2010,NS,wheat,1213.9,7000,1.34,9100,169066
2011,NS,wheat,1688.9,7000,1.86,13000,246374
2012,NS,wheat,1390.3,6500,1.7,10800,208710
2013,NS,wheat,1501.5,6500,1.62,10500,210108
2014,NS,wheat,1591.9,5500,1.7,9200,191755
2015,NS,wheat,1540.8,7500,2.07,15200,324979
2016,NS,wheat,1219.5,7400,1.98,14700,327880
2017,NS,wheat,1156,6500,2.07,13200,299349
2018,NS,wheat,1370.6,5100,1.94,9600,221291
2019,NS,wheat,1459.6,4300,1.64,7300,174232
2020,NS,wheat,1147.8,8000,1.49,11800,291266
2021,NS,wheat,1288,4500,1.8,8007,204177
2022,NS,wheat,1444.4,6100,1.95,12546,330161
1995,ON,wheat,928.1,735000,1.86,91000,1308049
1996,ON,wheat,699.8,780000,1.09,78700,1033102
1997,ON,wheat,628.6,528000,1.62,100200,1460021
1998,ON,wheat,682.1,800000,1.66,94100,1229083
1999,ON,wheat,661.8,800000,1.9,95600,1424368
2000,ON,wheat,755.7,775000,1.94,80200,1105432
2001,ON,wheat,690.4,665000,1.86,95600,1424368
2002,ON,wheat,661.9,750000,1.82,103300,1627234
2003,ON,wheat,895.6,1105000,2.03,123400,2105848
2004,ON,wheat,755,890000,1.9,108000,1813026
2005,ON,wheat,766.7,985000,1.78,104100,1905626
2006,ON,wheat,865.7,1230000,2.15,113400,1838436
2007,ON,wheat,592.7,775000,1.86,87900,1534649
2008,ON,wheat,1049.6,1450000,2.07,67900,1210809
2009,ON,wheat,904,1098000,1.9,79800,1452794
2010,ON,wheat,787.2,987000,2.07,75600,1404545
2011,ON,wheat,936.8,1215000,1.98,64400,1220499
2012,ON,wheat,731.6,929000,2.07,60900,1176895
2013,ON,wheat,944.9,1150000,2.11,75600,1512776
2014,ON,wheat,733.8,855000,2.07,70900,1477763
2015,ON,wheat,675.3,774000,2.07,154200,3296828
2016,ON,wheat,630.6,1199000,2.31,80200,1788841
2017,ON,wheat,846,1010000,2.27,71100,1612402
2018,ON,wheat,885,995500,2.21,65600,1512156
2019,ON,wheat,950.4,751100,2.03,104700,2498914
2020,ON,wheat,760.8,1149200,2.16,103700,2559688
2021,ON,wheat,823.2,1176800,2.39,81053,2066836
2022,ON,wheat,672.8,940700,2.55,111869,2943947
1995,PE,wheat,937.2,22500,1.3,29100,418288
1996,PE,wheat,1209.1,23700,1.38,32200,422692
1997,PE,wheat,847.6,23000,1.26,29000,422561
1998,PE,wheat,1140,22800,1.34,30400,397068
1999,PE,wheat,901.3,25000,0.97,24700,368011
2000,PE,wheat,849.5,25500,1.46,36600,504474
2001,PE,wheat,786.9,27100,1.13,30500,454427
2002,PE,wheat,1297.4,28000,1.5,41400,652154
2003,PE,wheat,1024.2,25000,1.22,30000,511956
2004,PE,wheat,986.8,30000,1.05,32000,537193
2005,PE,wheat,1093.9,29000,1.26,36000,659006
2006,PE,wheat,1119.3,26900,1.13,30200,489601
2007,PE,wheat,1101.8,26000,1.26,33000,576148
2008,PE,wheat,1494,40000,1.05,42900,765003
